Song Title;Streams;Daily
Soon You’ll Get Better (feat. The Chicks);136,449,645;110,197
Better Man (Taylor's Version) (From The Vault);133,221,419;153,94
I Know Places;131,934,504;29,625
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault);131,887,231;88,301
 Two Is Better Than One (feat. Taylor Swift);131,460,331;73,565
Blank Space (Taylor's Version);125,327,764;635,329
Begin Again;124,541,879;36,985
It’s Nice To Have A Friend;124,188,350;105,905
Tim McGraw;122,950,864;99,31
Last Kiss;120,708,927;29,299
Dear Reader;117,174,268;161,976
Only The Young - Featured in Miss Americana;115,767,283;61,55
Fearless;115,424,372;59,208
State Of Grace (Taylor's Version);115,302,955;117,808
closure;114,566,906;117,919
Should've Said No;114,219,749;109,171
Glitch;113,293,665;123,386
 Renegade;113,209,733;161,839
Fifteen;113,202,232;39,845
Babe (Taylor's Version) (From The Vault);112,516,059;132,417
 Babe;110,400,596;25,087
White Horse;108,434,877;30,248
Better Than Revenge (Taylor's Version);107,580,384;219,136
This Love;106,211,234;25,625
Crazier;106,177,928;56,46
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault);106,003,539;80,317
Long Live (Taylor's Version);103,945,048;356,992
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version);103,386,394;128,496
Treacherous (Taylor's Version);102,977,641;106,952
Come Back...Be Here (Taylor's Version);102,848,431;133,486
Forever & Always (Taylor’s Version);102,247,335;136,751
Out Of The Woods (Taylor's Version);101,634,952;430,765
Sparks Fly (Taylor’s Version);101,571,338;248,309
Haunted;100,920,462;33,323
it’s time to go - bonus track;100,130,474;129,813
Long Live;98,140,541;32,195
Begin Again (Taylor's Version);93,887,428;117,972
Fifteen (Taylor’s Version);92,856,603;115,79
Dear John (Taylor's Version);91,241,652;208,607
New Romantics (Taylor's Version);90,035,460;431,994
Sad Beautiful Tragic (Taylor's Version);89,243,738;106,41
White Horse (Taylor’s Version);88,720,567;175,624
Speak Now (Taylor's Version);88,368,573;180,998
Suburban Legends (Taylor's Version) (From The Vault);87,807,632;261,005
Welcome To New York (Taylor's Version);87,793,219;352,498
Forever Winter (Taylor's Version) (From The Vault);86,633,499;92,646
I Almost Do (Taylor's Version);85,886,953;89,334
Shake It Off (Taylor's Version);84,499,204;421,915
Never Grow Up;83,700,304;27,557
Mean (Taylor's Version);83,392,148;201,727
Stay Stay Stay (Taylor's Version);83,132,695;80,132
Hey Stephen (Taylor’s Version);82,616,223;96,969
Karma (feat. Ice Spice);82,036,579;116,583
The Story Of Us (Taylor's Version);81,569,983;182,424
Holy Ground (Taylor's Version);80,134,359;99,738
Foolish One (Taylor’s Version) (From The Vault);77,972,845;186,152
All You Had To Do Was Stay (Taylor's Version);76,391,835;301,999
Back To December - Acoustic;74,901,530;13,445
Clean (Taylor's Version);74,189,051;312,137
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault);73,707,032;150,868
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault);73,292,154;77,371
 Both of Us (feat. Taylor Swift);73,017,613;24,276
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault);72,040,938;132,229
The Lucky One (Taylor's Version);71,996,213;72,765
Timeless (Taylor’s Version) (From The Vault);71,901,174;154,32
Ours;70,662,007;14,971
When Emma Falls in Love (Taylor’s Version) (From The Vault);70,637,485;124,523
The Way I Loved You;68,694,679;20,84
Breathe;67,381,758;14,311
I Wish You Would (Taylor's Version);66,897,126;270,907
You’re Not Sorry (Taylor’s Version);66,740,839;91,376
The Moment I Knew (Taylor's Version);66,105,783;73,396
The Other Side Of The Door (Taylor’s Version);65,855,044;86,322
The Last Time;65,833,473;10,647
Last Kiss (Taylor's Version);65,740,744;164,823
Don’t You (Taylor’s Version) (From The Vault);65,715,509;76,165
Haunted (Taylor's Version);65,657,761;187,109
Starlight (Taylor's Version);65,615,704;73,501
Cornelia Street - Live From Paris;64,997,753;44,036
Carolina - From The Motion Picture “Where The Crawdads Sing”;64,461,977;69,873
Bad Blood (Taylor's Version);64,430,657;289,207
September - Recorded at The Tracking Room Nashville;63,475,114;41,623
Breathe (feat. Colbie Caillat) (Taylor’s Version);61,838,973;72,771
I Almost Do;61,472,459;8,537
State Of Grace;60,407,027;9,902
If This Was A Movie (Taylor’s Version);59,512,994;95,09
You Are In Love (Taylor's Version);58,584,613;228,012
I Know Places (Taylor's Version);58,558,912;208,205
Wonderland (Taylor's Version);57,673,205;205,948
How You Get The Girl (Taylor's Version);56,848,094;212,108
Stay Stay Stay;56,735,078;8,765
We Were Happy (Taylor’s Version) (From The Vault);55,490,357;60,648
Treacherous;54,649,328;7,914
Girl At Home (Taylor's Version);54,589,936;58,24
Holy Ground;53,755,240;7,875
Tell Me Why (Taylor’s Version);53,064,149;63,416
Forever & Always;52,814,363;13,406
Untouchable (Taylor’s Version);52,373,279;70,197
Jump Then Fall (Taylor’s Version);51,733,338;66,659
Bye Bye Baby (Taylor’s Version) (From The Vault);51,644,306;58,215
Mine - POP Mix;51,360,341;9,868
Innocent;51,262,842;10,634
 Gasoline (feat. Taylor Swift);50,488,102;67,54
Eyes Open;49,384,082;6,631
Today Was A Fairytale (Taylor’s Version);49,375,765;63,365
State Of Grace (Acoustic Version) (Taylor's Version);49,054,568;50,745
Bad Blood (feat. Kendrick Lamar) (Taylor's Version);49,036,265;204,132
Never Grow Up (Taylor's Version);48,671,457;99,606
Hey Stephen;48,383,859;13,022
The Best Day (Taylor’s Version);48,240,257;59,146
Forever & Always (Piano Version) (Taylor’s Version);48,071,189;64,19
I'm Only Me When I'm With You;47,969,118;48,081
Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version);47,940,053;96,146
Ours (Taylor’s Version);46,342,124;105,796
You're Not Sorry;45,516,658;11,099
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios;45,313,606;47,677
 The Alcott (feat. Taylor Swift);45,254,513;131,432
The Story Of Us;45,078,736;11,795
The Lucky One;43,400,851;6,388
If This Was A Movie;43,064,417;11,258
Starlight;43,052,486;6,884
exile (feat. Bon Iver) - the long pond studio sessions;42,733,782;53,263
Mary's Song (Oh My My My);42,498,956;45,155
Come Back...Be Here;41,904,309;7,507
Change (Taylor’s Version);41,424,146;48,585
Delicate - Seeb Remix;41,281,630;23,32
Innocent (Taylor's Version);41,026,091;78,212
Ronan (Taylor's Version);40,769,256;45,671
Cold As You;40,333,645;43,872
Sad Beautiful Tragic;39,326,380;5,541
the lakes - original version;39,210,823;49,892
The Best Day;39,007,130;12,307
A Place in this World;38,963,666;41,883
cardigan - cabin in candlelight version;38,650,001;21,157
Come In With The Rain (Taylor’s Version);37,721,114;47,284
Delicate - Recorded at The Tracking Room Nashville;36,926,398;33,559
Death By A Thousand Cuts - Live From Paris;36,744,044;20,335
Superman (Taylor’s Version);34,673,797;67,746
Love Story (Taylor's Version) - Elvira Remix;34,187,028;16,94
